Symbol;Name;Sector;Price;Price/Earnings;Dividend Yield;Earnings/Share;52 Week Low;52 Week High;Market Cap;EBITDA;Price/Sales;Sales;Price/Book;SEC Filings
GOOGL;Alphabet Inc Class A;Information Technology;1007,71;31,48;0;22,27;1198;824,3;733823966137.00;34217000000.00;6.801.692;6.854.133.045;4,7;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG;Alphabet Inc Class C;Information Technology;1001,52;40,29;0;22,27;1186,89;8.031.903;728535558140.00;32714000000.00;6.772.653;6.782.947.433;4,67;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO;Altria Group Inc;Consumer Staples;64,05;18,89;39.526.875;5,31;77,79;60,01;126985101434.00;10773000000.00;4.945.682;316.770.932;10,32;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN;Amazon.com Inc;Consumer Discretionary;1350,5;296,16;0;6,16;1498;812,5;685873374731.00;16132000000.00;3.927.053;5.303.485.077;24,28;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AEE;Ameren Corp;Utilities;52,59;20,38;34.404.964;2,68;64,89;51,81;12905744906.00;2298000000.00;2.693.119;141.631.128;1,79;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AAL;American Airlines Group;Industrials;48,6;9,92;0,7782101;3,91;59,08;39,21;24594852352.00;5761000000.00;0,58022565;28;6,03;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL
AEP;American Electric Power;Utilities;63,38;17,32;38.479.443;1,24;78,07;62,69;31701916517.00;4450800000.00;27.489.934;1.742.312.017;1,81;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP;American Express Co;Financials;88,34;15;14.955.667;2,9;102.385;75,51;80410990000.00;0.00;2.273.575;200.847.616;3,75;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG;American International Group, Inc.;Financials;58,28;23,22;21.167.521;-0,76;67,3;57,85;54360073164.00;0.00;14.686.536;855.931.318;0,75;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT;American Tower Corp A;Real Estate;133,57;20,68;2;1,97;155,28;103,36;59213892640.00;3792383000.00;11.954.137;1.596.714.079;9,22;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AWK;American Water Works Company Inc;Utilities;76,06;26,23;2.129.297;2,63;92,37;71,89;13906146184.00;1711000000.00;5.553.833;422.424.538;2,55;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
AMP;Ameriprise Financial;Financials;152,5;12,41;20.735.743;9,44;183,9;118,84;23472126000.00;0.00;19.493.247;2.972.720.168;3,73;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
ABC;AmerisourceBergen Corp;Health Care;91,55;15,54;16.132.456;1,64;106,27;71,9;20587704101.00;991884000.00;0,17396984;16;9,73;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC
AME;AMETEK Inc;Industrials;72,05;27,61;0,75512403;2,94;78,51;51,31;17139651923.00;1025763000.00;4.015.368;289.307.264;4,54;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN;Amgen Inc;Health Care;173,12;13,76;29.751.508;2,57;201,23;152,16;128133340000.00;11945000000.00;558.192;96.634.199;3,91;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH;Amphenol Corp;Information Technology;84,44;25,9;0,8608971;2,05;93,62;67,26;26955335395.00;1671700000.00;385.675;32.566.397;6,64;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
APC;Anadarko Petroleum Corp;Energy;56,2;-21,29;17.029.973;-5,9;70;39,96;32129091747.00;3115000000.00;39.682.212;2.230.140.314;2,88;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC
ADI;Analog Devices, Inc.;Information Technology;82,68;17,67;2.108.963;2,11;98,38;74,65;31811578855.00;1663384000.00;800.391;66.176.328;3,13;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
ANDV;Andeavor;Energy;96,9;18,78;23.454.583;6,13;121,71;75,11;15696449735.00;2548000000.00;0,6618165;64;1,7;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANDV
ANSS;ANSYS;Information Technology;148,84;42,53;0;2,99;164,9;94,52;13155919129.00;458515000.00;168.134;25.025.065;5,79;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS
